crossed_rownames,name_1,syct_1,mmin_1,mmax_1,cach_1,chmin_1,chmax_1,perf_1,estperf_1,name_2,syct_2,mmin_2,mmax_2,cach_2,chmin_2,chmax_2,perf_2,estperf_2
1_2,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 470V/7,29,8000,32000,32,8,32,269,253
1_3,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 470/7A,29,8000,32000,32,8,32,220,253
1_4,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 470V/7B,29,8000,32000,32,8,32,172,253
1_5,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 470V/7C,29,8000,16000,32,8,16,132,132
1_6,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 470V/8,26,8000,32000,64,8,32,318,290
1_7,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 580-5840,23,16000,32000,64,16,32,367,381
1_8,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381
1_9,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749
1_10,ADVISOR 32/60,125,256,6000,256,16,128,198,199,AMDAHL 580 5880,23,32000,64000,128,32,64,1144,1238
1_11,ADVISOR 32/60,125,256,6000,256,16,128,198,199,APOLLO DN320,400,1000,3000,0,1,2,38,23
1_12,ADVISOR 32/60,125,256,6000,256,16,128,198,199,APOLLO DN420,400,512,3500,4,1,6,40,24
1_13,ADVISOR 32/60,125,256,6000,256,16,128,198,199,BASF 7/65,60,2000,8000,65,1,8,92,70
1_14,ADVISOR 32/60,125,256,6000,256,16,128,198,199,BASF 7/68,50,4000,16000,65,1,8,138,117
1_15,ADVISOR 32/60,125,256,6000,256,16,128,198,199,BTI 5000,350,64,64,0,1,4,10,15
1_16,ADVISOR 32/60,125,256,6000,256,16,128,198,199,BTI 8000,200,512,16000,0,4,32,35,64
1_17,ADVISOR 32/60,125,256,6000,256,16,128,198,199,BURROUGHS B1955,167,524,2000,8,4,15,19,23
1_18,ADVISOR 32/60,125,256,6000,256,16,128,198,199,BURROUGHS B2900,143,512,5000,0,7,32,28,29
1_19,ADVISOR 32/60,125,256,6000,256,16,128,198,199,BURROUGHS B2925,143,1000,2000,0,5,16,31,22
1_20,ADVISOR 32/60,125,256,6000,256,16,128,198,199,BURROUGHS B4955,110,5000,5000,142,8,64,120,124
