type,total ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc:#,maxms,summs,sdvms,mb
read1,2740,2740,1029,1029,5.7,3.3,11.1,72.7,162.3,165.3,1.0,0.00000,0,0,0,0,0,0
read1,8594,5854,2413,2413,4.3,3.4,10.2,18.5,27.3,37.8,2.0,0.20469,0,1,18,18,0,214
read1,14527,5933,2728,2728,4.2,3.3,9.9,22.7,43.2,51.8,3.0,0.15265,0,1,25,25,0,189
read1,20876,6349,3224,3224,3.8,3.0,9.0,18.2,34.3,62.0,4.0,0.13056,0,0,0,0,0,0
read1,26838,5962,3258,3258,4.2,3.4,9.2,17.9,53.4,56.2,5.0,0.10524,0,1,43,43,0,187
read1,32498,5660,3364,3364,4.4,3.4,10.5,20.4,45.3,49.3,6.0,0.08778,0,1,31,31,0,189
read1,38620,6122,3749,3749,3.9,3.1,8.9,23.2,32.1,52.3,7.0,0.07929,0,0,0,0,0,0
read1,44831,6211,4154,4154,4.1,2.9,11.0,23.4,46.8,60.3,8.0,0.07140,0,1,31,31,0,195
read1,50191,6347,4261,4261,3.9,2.8,10.5,25.0,37.5,50.5,8.8,0.06622,0,0,0,0,0,0

