type,total ops,op/s,pk/s,row/s,mean,med,95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdvms,mb
total,2,2,2,2,11.4,8.7,14.2,14.2,14.2,14.2,1.0,0.00000,0,0,0,0,0,0
insert,2687,2687,2687,2687,8.8,7.1,20.4,50.3,73.3,109.1,1.0,0.70665,0,0,0,0,0,0
read1,3135,3133,2911,2911,8.6,7.2,18.9,46.1,63.5,101.4,2.0,0.70665,0,0,0,0,0,0
total,5822,5820,5598,5598,8.7,7.2,19.5,48.0,73.3,109.1,2.0,0.70665,0,0,0,0,0,0
insert,6250,3563,3563,3563,7.0,6.0,15.3,34.2,43.0,46.2,2.0,0.41071,0,1,21,21,0,208
read1,6576,3441,3225,3225,7.2,6.1,15.4,36.9,50.8,53.1,3.0,0.41071,0,1,21,21,0,208
total,12826,7004,6788,6788,7.1,6.0,15.4,36.5,45.4,53.1,3.0,0.41071,0,1,21,21,0,208
insert,9460,3210,3210,3210,7.7,6.1,14.7,31.7,154.1,184.7,3.0,0.29231,0,0,0,0,0,0
read1,9803,3227,3033,3033,7.8,5.9,15.1,40.5,147.8,155.8,4.0,0.29231,0,0,0,0,0,0
total,19263,6437,6243,6243,7.8,6.0,14.9,33.6,153.5,184.7,4.0,0.29231,0,0,0,0,0,0
insert,13391,3931,3931,3931,6.2,5.7,12.7,19.0,25.0,27.6,4.0,0.22814,0,1,11,11,0,199
read1,13908,4105,3860,3860,6.3,5.8,12.9,21.6,27.7,34.7,5.0,0.22814,0,1,11,11,0,199
total,27299,8036,7791,7791,6.2,5.7,12.8,20.0,27.0,34.7,5.0,0.22814,0,1,11,11,0,199
insert,17480,4089,4089,4089,6.3,5.7,13.2,20.8,41.5,47.8,5.0,0.18690,0,0,0,0,0,0
read1,17705,3797,3574,3574,6.3,5.7,13.1,19.9,40.5,50.1,6.0,0.18690,0,0,0,0,0,0
total,35185,7886,7663,7663,6.3,5.7,13.2,20.3,41.5,50.1,6.0,0.18690,0,0,0,0,0,0
insert,21285,3805,3805,3805,6.4,5.8,14.0,19.5,30.0,35.7,6.0,0.15813,0,1,11,11,0,199
read1,21765,4060,3846,3846,6.3,5.7,13.7,20.2,30.1,40.3,7.0,0.15813,0,1,11,11,0,199
total,43050,7865,7651,7651,6.4,5.7,13.9,19.7,30.1,40.3,7.0,0.15813,0,1,11,11,0,199
insert,25474,4189,4189,4189,6.2,5.6,12.7,22.8,47.9,51.8,7.0,0.13745,0,0,0,0,0,0
read1,25675,3910,3697,3697,6.2,5.5,12.7,22.9,42.6,49.6,8.0,0.13745,0,0,0,0,0,0
total,51149,8099,7886,7886,6.2,5.6,12.7,22.9,44.3,51.8,8.0,0.13745,0,0,0,0,0,0
insert,29133,3659,3659,3659,6.5,5.8,14.5,22.0,27.8,33.3,8.0,0.12116,0,1,12,12,0,199
read1,29643,3968,3757,3757,6.5,5.9,13.5,20.2,30.1,40.1,9.0,0.12116,0,1,12,12,0,199
total,58776,7627,7416,7416,6.5,5.9,14.1,21.3,28.3,40.1,9.0,0.12116,0,1,12,12,0,199
insert,32970,3837,3837,3837,6.3,5.6,13.6,23.0,37.9,51.2,9.0,0.10847,0,0,0,0,0,0
read1,33744,4101,3859,3859,6.4,5.6,14.0,22.7,36.9,48.9,10.0,0.10847,0,0,0,0,0,0
total,66714,7938,7696,7696,6.3,5.6,13.9,22.8,37.8,51.2,10.0,0.10847,0,0,0,0,0,0
insert,37010,4040,4040,4040,6.4,5.6,13.8,27.0,41.9,50.9,10.0,0.09813,0,1,15,15,0,202
read1,37495,3751,3548,3548,6.3,5.6,13.2,26.0,39.7,47.0,11.0,0.09813,0,1,15,15,0,202
total,74505,7791,7588,7588,6.4,5.6,13.6,26.5,41.0,50.9,11.0,0.09813,0,1,15,15,0,202
insert,40844,3834,3834,3834,6.5,5.8,13.5,21.8,60.9,65.9,11.0,0.08967,0,0,0,0,0,0
read1,41462,3967,3759,3759,6.3,5.7,12.9,20.0,58.6,71.2,12.0,0.08967,0,0,0,0,0,0
total,82306,7801,7593,7593,6.4,5.7,13.1,21.1,59.1,71.2,12.0,0.08967,0,0,0,0,0,0
insert,44867,4023,4023,4023,6.3,5.7,13.2,21.6,29.6,35.1,12.0,0.08249,0,1,18,18,0,199
read1,45362,3900,3721,3721,6.3,5.7,13.3,22.4,30.3,32.8,13.0,0.08249,0,1,18,18,0,199
total,90229,7923,7744,7744,6.3,5.7,13.2,21.9,29.9,35.1,13.0,0.08249,0,1,18,18,0,199
insert,48785,3918,3918,3918,6.1,5.7,12.8,16.9,22.0,25.3,13.0,0.07645,0,0,0,0,0,0
read1,49618,4256,4022,4022,6.1,5.6,12.9,18.4,26.1,34.1,14.0,0.07645,0,0,0,0,0,0
total,98403,8174,7940,7940,6.1,5.6,12.8,17.6,24.8,34.1,14.0,0.07645,0,0,0,0,0,0
insert,49544,3369,3369,3369,7.1,6.4,15.7,21.9,23.9,26.3,13.2,0.07117,0,0,0,0,0,0
read1,50456,3719,3497,3497,7.1,6.5,15.1,20.6,26.1,32.8,14.2,0.07117,0,0,0,0,0,0
total,100000,7088,6866,6866,7.1,6.4,15.4,21.8,26.1,32.8,14.2,0.07117,0,0,0,0,0,0
