type,                                              total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
insert,                                                  909,     909,     909,     909,     4.7,     3.0,    16.4,    33.2,    41.7,    43.4,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
read1,                                                   878,     878,     675,     675,     4.9,     3.0,    18.3,    35.7,    42.6,    42.8,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,                                                  1787,    1787,    1584,    1584,     4.8,     3.0,    17.0,    35.1,    42.6,    43.4,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
insert,                                                 6606,    5697,    5697,    5697,     4.4,     3.4,    11.3,    20.3,    33.2,    47.4,    2.0,  0.51597,      0,      1,      13,      13,       0,     215
read1,                                                  6511,    5633,    4396,    4396,     4.3,     3.4,    10.1,    19.5,    32.6,    35.2,    2.0,  0.51597,      0,      1,      13,      13,       0,     215
total,                                                 13117,   11330,   10093,   10093,     4.3,     3.4,    10.8,    19.9,    33.2,    47.4,    2.0,  0.51597,      0,      1,      13,      13,       0,     215
insert,                                                12058,    5452,    5452,    5452,     4.5,     3.3,    10.3,    22.9,   133.8,   146.8,    3.0,  0.32236,      0,      1,      24,      24,       0,     190
read1,                                                 11626,    5115,    4082,    4082,     5.2,     3.3,    11.5,    32.0,   138.4,   149.8,    3.0,  0.32236,      0,      1,      24,      24,       0,     190
total,                                                 23684,   10567,    9534,    9534,     4.8,     3.3,    11.1,    28.9,   135.9,   149.8,    3.0,  0.32236,      0,      1,      24,      24,       0,     190
insert,                                                17552,    5494,    5494,    5494,     4.6,     3.7,    10.9,    24.0,    39.6,    44.0,    4.0,  0.23287,      0,      1,      27,      27,       0,     190
read1,                                                 16899,    5273,    4318,    4318,     4.6,     3.7,    10.9,    24.8,    40.5,    42.8,    4.0,  0.23287,      0,      1,      27,      27,       0,     190
total,                                                 34451,   10767,    9812,    9812,     4.6,     3.7,    10.9,    24.1,    39.6,    44.0,    4.0,  0.23287,      0,      1,      27,      27,       0,     190
insert,                                                23589,    6037,    6037,    6037,     4.0,     3.2,     9.5,    19.6,    42.8,    44.7,    5.0,  0.18442,      0,      1,      30,      30,       0,     194
read1,                                                 22924,    6025,    4949,    4949,     4.2,     3.3,     9.8,    19.4,    42.6,    59.5,    5.0,  0.18442,      0,      1,      30,      30,       0,     194
total,                                                 46513,   12062,   10986,   10986,     4.1,     3.3,     9.6,    19.4,    42.6,    59.5,    5.0,  0.18442,      0,      1,      30,      30,       0,     194
insert,                                                29067,    5478,    5478,    5478,     4.6,     3.5,    11.3,    21.9,    46.5,    47.3,    6.0,  0.15155,      0,      0,       0,       0,       0,       0
read1,                                                 28450,    5526,    4626,    4626,     4.6,     3.5,    11.2,    20.8,    37.3,    47.4,    6.0,  0.15155,      0,      0,       0,       0,       0,       0
total,                                                 57517,   11004,   10104,   10104,     4.6,     3.5,    11.2,    21.4,    44.8,    47.4,    6.0,  0.15155,      0,      0,       0,       0,       0,       0
insert,                                                34290,    5223,    5223,    5223,     4.6,     3.2,    12.0,    27.1,    52.4,    67.3,    7.0,  0.12864,      0,      1,      32,      32,       0,     185
read1,                                                 34086,    5636,    4741,    4741,     4.7,     3.3,    12.4,    28.6,    50.1,    55.2,    7.0,  0.12864,      0,      1,      32,      32,       0,     185
total,                                                 68376,   10859,    9964,    9964,     4.6,     3.2,    12.2,    27.9,    51.7,    67.3,    7.0,  0.12864,      0,      1,      32,      32,       0,     185
insert,                                                40072,    5782,    5782,    5782,     4.2,     3.0,    11.8,    22.3,    36.0,    65.3,    8.0,  0.11228,      0,      1,      20,      20,       0,     201
read1,                                                 40025,    5939,    5012,    5012,     4.3,     3.1,    11.8,    23.3,    35.2,    43.5,    8.0,  0.11228,      0,      1,      20,      20,       0,     201
total,                                                 80097,   11721,   10794,   10794,     4.3,     3.0,    11.8,    22.6,    35.8,    65.3,    8.0,  0.11228,      0,      1,      20,      20,       0,     201
insert,                                                45684,    5612,    5612,    5612,     4.3,     3.1,    11.7,    23.0,    34.2,    77.2,    9.0,  0.09942,      0,      1,      22,      22,       0,     186
read1,                                                 45683,    5658,    4835,    4835,     4.6,     3.2,    12.9,    27.1,    46.1,    55.0,    9.0,  0.09942,      0,      1,      22,      22,       0,     186
total,                                                 91367,   11270,   10447,   10447,     4.4,     3.2,    12.4,    26.0,    43.8,    77.2,    9.0,  0.09942,      0,      1,      22,      22,       0,     186
insert,                                                50077,    5700,    5700,    5700,     4.2,     2.6,    13.6,    27.1,    47.2,    56.0,    9.8,  0.08986,      0,      0,       0,       0,       0,       0
read1,                                                 49923,    5502,    4808,    4808,     4.8,     2.9,    16.8,    29.6,    61.7,   101.6,    9.8,  0.08986,      0,      0,       0,       0,       0,       0
total,                                                100000,   11202,   10508,   10508,     4.5,     2.7,    15.6,    28.2,    49.9,   101.6,    9.8,  0.08986,      0,      0,       0,       0,       0,       0
