type,total ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc:#,maxms,summs,sdvms,mb
total,1787,1787,1584,1584,4.8,3.0,17.0,35.1,42.6,43.4,1.0,0.00000,0,0,0,0,0,0
total,13117,11330,10093,10093,4.3,3.4,10.8,19.9,33.2,47.4,2.0,0.51597,0,1,13,13,0,215
total,23684,10567,9534,9534,4.8,3.3,11.1,28.9,135.9,149.8,3.0,0.32236,0,1,24,24,0,190
total,34451,10767,9812,9812,4.6,3.7,10.9,24.1,39.6,44.0,4.0,0.23287,0,1,27,27,0,190
total,46513,12062,10986,10986,4.1,3.3,9.6,19.4,42.6,59.5,5.0,0.18442,0,1,30,30,0,194
total,57517,11004,10104,10104,4.6,3.5,11.2,21.4,44.8,47.4,6.0,0.15155,0,0,0,0,0,0
total,68376,10859,9964,9964,4.6,3.2,12.2,27.9,51.7,67.3,7.0,0.12864,0,1,32,32,0,185
total,80097,11721,10794,10794,4.3,3.0,11.8,22.6,35.8,65.3,8.0,0.11228,0,1,20,20,0,201
total,91367,11270,10447,10447,4.4,3.2,12.4,26.0,43.8,77.2,9.0,0.09942,0,1,22,22,0,186
total,100000,11202,10508,10508,4.5,2.7,15.6,28.2,49.9,101.6,9.8,0.08986,0,0,0,0,0,0
