type,total ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc:#,maxms,summs,sdvms,mb
insert,909,909,909,909,4.7,3.0,16.4,33.2,41.7,43.4,1.0,0.00000,0,0,0,0,0,0
insert,6606,5697,5697,5697,4.4,3.4,11.3,20.3,33.2,47.4,2.0,0.51597,0,1,13,13,0,215
insert,12058,5452,5452,5452,4.5,3.3,10.3,22.9,133.8,146.8,3.0,0.32236,0,1,24,24,0,190
insert,17552,5494,5494,5494,4.6,3.7,10.9,24.0,39.6,44.0,4.0,0.23287,0,1,27,27,0,190
insert,23589,6037,6037,6037,4.0,3.2,9.5,19.6,42.8,44.7,5.0,0.18442,0,1,30,30,0,194
insert,29067,5478,5478,5478,4.6,3.5,11.3,21.9,46.5,47.3,6.0,0.15155,0,0,0,0,0,0
insert,34290,5223,5223,5223,4.6,3.2,12.0,27.1,52.4,67.3,7.0,0.12864,0,1,32,32,0,185
insert,40072,5782,5782,5782,4.2,3.0,11.8,22.3,36.0,65.3,8.0,0.11228,0,1,20,20,0,201
insert,45684,5612,5612,5612,4.3,3.1,11.7,23.0,34.2,77.2,9.0,0.09942,0,1,22,22,0,186
insert,50077,5700,5700,5700,4.2,2.6,13.6,27.1,47.2,56.0,9.8,0.08986,0,0,0,0,0,0
